ranking,movieTitle,movieYear,rating,movieLength,runtime,genre,releaseDate,summary
114,The Apartment,1960,8.3,2h 5min,125,"Comedy,Drama,Romance",29-Jun-60,"A man tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue."
115,A Separation,2011,8.3,2h 3min,123,Drama,16-Mar-11,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.
116,Amélie,2001,8.3,2h 2min,122,"Comedy,Romance",08-Feb-02,"Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love."
117,Incendies,2010,8.3,2h 11min,131,"Drama,Mystery,War",12-Jan-11,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.
118,Snatch,2000,8.3,1h 42min,104,"Comedy,Crime",19-Jan-01,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond."
119,Scarface,1983,8.3,2h 50min,170,"Crime,Drama",09-Dec-83,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed."
120,Toy Story 3,2010,8.2,1h 43min,103,"Animation,Adventure,Comedy",18-Jun-10,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home."
121,To Kill a Mockingbird,1962,8.3,2h 9min,129,"Crime,Drama",16-Mar-63,"Atticus Finch, a lawyer in the Depression-era South, defends a black man against an undeserved rape charge, and his children against prejudice."
122,For a Few Dollars More,1965,8.2,2h 12min,132,Western,10-May-67,Two bounty hunters with the same intentions team up to track down a Western outlaw.
123,Up,2009,8.2,1h 36min,96,"Animation,Adventure,Comedy",29-May-09,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway."
124,Indiana Jones and the Last Crusade,1989,8.2,2h 7min,127,"Action,Adventure",24-May-89,"In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry ""Indiana"" Jones, Jr. finds himself up againstAdolf Hitler's Nazis again to stop them from obtaining its powers."
125,L.A. Confidential,1997,8.2,2h 18min,138,"Crime,Drama,Mystery",19-Sep-97,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice."
126,Heat,1995,8.2,2h 50min,170,"Crime,Drama,Thriller",15-Dec-95,A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.
127,Rashomon,1950,8.2,1h 28min,88,"Crime,Drama,Mystery",26-Dec-51,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter."
128,Yojimbo,1961,8.2,1h 50min,110,"Action,Drama,Thriller",13-Sep-61,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.
129,Ran,1985,8.2,2h 42min,162,"Action,Drama,War",01-Jun-85,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him."
130,Die Hard,1988,8.2,2h 12min,132,"Action,Thriller",20-Jul-88,An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.
131,Monty Python and the Holy Grail,1975,8.2,1h 31min,91,"Adventure,Comedy,Fantasy",25-May-75,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles."
132,Green Book,2018,8.2,2h 10min,130,"Biography,Comedy,Drama",16-Nov-18,A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.
133,Downfall,2004,8.2,2h 36min,156,"Biography,Drama,History",08-Apr-05,"Traudl Junge, the final secretary forAdolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII."
134,Batman Begins,2005,8.2,2h 20min,140,"Action,Adventure",15-Jun-05,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption."
135,Some Like It Hot,1959,8.2,2h 1min,121,"Comedy,Music,Romance",19-Mar-59,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in."
136,All About Eve,1950,8.2,2h 18min,138,Drama,27-Oct-50,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.
137,Unforgiven,1992,8.2,2h 10min,130,"Drama,Western",07-Aug-92,"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid."""
138,Children of Heaven,1997,8.3,1h 29min,89,"Drama,Family,Sport",22-Jan-99,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair."
139,Howl's Moving Castle,2004,8.2,1h 59min,119,"Animation,Adventure,Family",17-Jun-05,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle."
140,The Wolf of Wall Street,2013,8.2,3h,180,"Biography,Crime,Drama",25-Dec-13,"Based on the true story ofJordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
141,The Great Escape,1963,8.2,2h 52min,172,"Adventure,Drama,History",04-Jul-63,Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.
142,Judgment at Nuremberg,1961,8.2,2h 59min,179,"Drama,War",18-Dec-61,"In 1948, an American court in occupied Germany tries four Nazis judged for war crimes."
